Low,High,Open,Close,Volume,highest_bid_price,highest_bid_quantity,lowest_ask_price,lowest_ask_quantity,Spread,Mid_price,Market_depth
179.0,218.0,203.0,207.0,13908.0,207.0,5.0,237.0,1.0,30.0,222.0,670.0
186.0,221.0,217.0,189.0,14092.0,173.0,4.0,189.0,1.0,16.0,181.0,598.0
189.0,228.0,189.0,227.0,13830.0,227.0,11.0,241.0,1.0,14.0,234.0,731.0
194.0,228.0,227.0,225.0,13692.0,225.0,14.0,400.0,1.0,175.0,312.5,685.0
195.0,231.0,225.0,224.0,13911.0,224.0,5.0,315.0,1.0,91.0,269.5,615.0
196.0,230.0,228.0,198.0,13995.0,190.0,4.0,198.0,2.0,8.0,194.0,727.0
197.0,233.0,198.0,203.0,13914.0,202.0,9.0,203.0,1.0,1.0,202.5,744.0
199.0,233.0,203.0,231.0,13727.0,232.0,5.0,241.0,2.0,9.0,236.5,708.0
202.0,238.0,224.0,219.0,7006.0,220.0,5.0,236.0,1.0,16.0,228.0,614.0
201.0,238.0,219.0,231.0,13457.0,231.0,5.0,317.0,1.0,86.0,274.0,720.0
196.0,232.0,231.0,214.0,13913.0,211.0,6.0,214.0,1.0,3.0,212.5,687.0
201.0,237.0,215.0,235.0,13947.0,235.0,5.0,236.0,1.0,1.0,235.5,601.0
203.0,237.0,232.0,207.0,13835.0,200.0,5.0,207.0,3.0,7.0,203.5,607.0
203.0,238.0,207.0,203.0,13965.0,200.0,8.0,203.0,2.0,3.0,201.5,488.0
199.0,235.0,208.0,201.0,13836.0,200.0,3.0,201.0,1.0,1.0,200.5,769.0
201.0,236.0,201.0,206.0,13842.0,179.0,5.0,205.0,1.0,26.0,192.0,542.0
204.0,240.0,205.0,237.0,13842.0,237.0,13.0,238.0,1.0,1.0,237.5,725.0
207.0,242.0,237.0,212.0,6954.0,204.0,5.0,212.0,1.0,8.0,208.0,692.0
207.0,242.0,242.0,208.0,13953.0,206.0,4.0,208.0,1.0,2.0,207.0,730.0
201.0,238.0,208.0,230.0,13919.0,230.0,7.0,231.0,1.0,1.0,230.5,744.0
200.0,235.0,230.0,232.0,13756.0,231.0,6.0,232.0,1.0,1.0,231.5,720.0
200.0,236.0,224.0,231.0,13955.0,231.0,15.0,299.0,1.0,68.0,265.0,702.0
197.0,232.0,231.0,228.0,13825.0,228.0,10.0,229.0,2.0,1.0,228.5,549.0
186.0,228.0,228.0,218.0,13924.0,218.0,5.0,231.0,1.0,13.0,224.5,684.0
186.0,221.0,218.0,209.0,13738.0,210.0,5.0,215.0,1.0,5.0,212.5,665.0
189.0,223.0,190.0,220.0,14064.0,220.0,7.0,368.0,1.0,148.0,294.0,705.0
186.0,222.0,220.0,190.0,6920.0,216.0,5.0,246.0,1.0,30.0,231.0,563.0
185.0,219.0,187.0,218.0,13792.0,218.0,5.0,259.0,1.0,41.0,238.5,691.0
188.0,222.0,218.0,221.0,13904.0,221.0,7.0,270.0,1.0,49.0,245.5,744.0
186.0,222.0,221.0,220.0,13919.0,220.0,9.0,223.0,1.0,3.0,221.5,659.0
189.0,224.0,220.0,222.0,14014.0,222.0,13.0,235.0,1.0,13.0,228.5,578.0
190.0,231.0,222.0,215.0,13925.0,231.0,5.0,280.0,1.0,49.0,255.5,672.0
200.0,235.0,201.0,232.0,13961.0,232.0,5.0,233.0,1.0,1.0,232.5,731.0
201.0,236.0,232.0,201.0,14177.0,183.0,5.0,201.0,1.0,18.0,192.0,618.0
200.0,237.0,201.0,236.0,13956.0,236.0,9.0,237.0,1.0,1.0,236.5,717.0
199.0,237.0,236.0,206.0,7082.0,206.0,5.0,207.0,2.0,1.0,206.5,495.0
198.0,233.0,202.0,223.0,13854.0,220.0,5.0,223.0,1.0,3.0,221.5,520.0
196.0,233.0,221.0,226.0,14029.0,227.0,8.0,416.0,1.0,189.0,321.5,718.0
194.0,229.0,227.0,222.0,14005.0,222.0,5.0,234.0,1.0,12.0,228.0,641.0
190.0,227.0,224.0,192.0,13847.0,145.0,5.0,192.0,1.0,47.0,168.5,573.0
192.0,227.0,192.0,223.0,14074.0,223.0,5.0,224.0,1.0,1.0,223.5,763.0
187.0,224.0,222.0,220.0,13872.0,220.0,5.0,221.0,2.0,1.0,220.5,739.0
188.0,221.0,217.0,195.0,13878.0,188.0,5.0,189.0,1.0,1.0,188.5,717.0
187.0,221.0,219.0,213.0,14111.0,213.0,5.0,221.0,1.0,8.0,217.0,693.0
184.0,220.0,218.0,211.0,6838.0,211.0,5.0,212.0,1.0,1.0,211.5,674.0
180.0,216.0,199.0,212.0,14117.0,212.0,14.0,360.0,1.0,148.0,286.0,705.0
181.0,214.0,212.0,211.0,13947.0,211.0,5.0,212.0,1.0,1.0,211.5,533.0
178.0,213.0,210.0,179.0,13839.0,178.0,5.0,179.0,2.0,1.0,178.5,712.0
178.0,214.0,181.0,184.0,13932.0,183.0,5.0,184.0,1.0,1.0,183.5,733.0
180.0,214.0,184.0,209.0,13780.0,210.0,7.0,239.0,1.0,29.0,224.5,731.0
175.0,211.0,210.0,175.0,13900.0,173.0,5.0,175.0,1.0,2.0,174.0,734.0
167.0,206.0,175.0,194.0,13976.0,195.0,5.0,197.0,1.0,2.0,196.0,765.0
165.0,199.0,194.0,168.0,13844.0,167.0,3.0,168.0,1.0,1.0,167.5,648.0
168.0,200.0,168.0,195.0,7020.0,190.0,7.0,195.0,1.0,5.0,192.5,724.0
167.0,201.0,184.0,197.0,13987.0,197.0,7.0,198.0,1.0,1.0,197.5,678.0
