Low,High,Open,Close,Volume
179.0,218.0,203.0,207.0,13908.0
186.0,221.0,217.0,189.0,14092.0
189.0,228.0,189.0,227.0,13830.0
194.0,228.0,227.0,225.0,13692.0
195.0,231.0,225.0,224.0,13911.0
196.0,230.0,228.0,198.0,13995.0
197.0,233.0,198.0,203.0,13914.0
199.0,233.0,203.0,231.0,13727.0
202.0,238.0,224.0,219.0,7006.0
201.0,238.0,219.0,231.0,13457.0
196.0,232.0,231.0,214.0,13913.0
201.0,237.0,215.0,235.0,13947.0
203.0,237.0,232.0,207.0,13835.0
203.0,238.0,207.0,203.0,13965.0
199.0,235.0,208.0,201.0,13836.0
201.0,236.0,201.0,206.0,13842.0
204.0,240.0,205.0,237.0,13842.0
207.0,242.0,237.0,212.0,6954.0
207.0,242.0,242.0,208.0,13953.0
201.0,238.0,208.0,230.0,13919.0
200.0,235.0,230.0,232.0,13756.0
200.0,236.0,224.0,231.0,13955.0
197.0,232.0,231.0,228.0,13825.0
186.0,228.0,228.0,218.0,13924.0
186.0,221.0,218.0,209.0,13738.0
189.0,223.0,190.0,220.0,14064.0
186.0,222.0,220.0,190.0,6920.0
185.0,219.0,187.0,218.0,13792.0
188.0,222.0,218.0,221.0,13904.0
186.0,222.0,221.0,220.0,13919.0
189.0,224.0,220.0,222.0,14014.0
190.0,231.0,222.0,215.0,13925.0
200.0,235.0,201.0,232.0,13961.0
201.0,236.0,232.0,201.0,14177.0
200.0,237.0,201.0,236.0,13956.0
199.0,237.0,236.0,206.0,7082.0
198.0,233.0,202.0,223.0,13854.0
196.0,233.0,221.0,226.0,14029.0
194.0,229.0,227.0,222.0,14005.0
190.0,227.0,224.0,192.0,13847.0
192.0,227.0,192.0,223.0,14074.0
187.0,224.0,222.0,220.0,13872.0
188.0,221.0,217.0,195.0,13878.0
187.0,221.0,219.0,213.0,14111.0
184.0,220.0,218.0,211.0,6838.0
180.0,216.0,199.0,212.0,14117.0
181.0,214.0,212.0,211.0,13947.0
178.0,213.0,210.0,179.0,13839.0
178.0,214.0,181.0,184.0,13932.0
180.0,214.0,184.0,209.0,13780.0
175.0,211.0,210.0,175.0,13900.0
167.0,206.0,175.0,194.0,13976.0
165.0,199.0,194.0,168.0,13844.0
168.0,200.0,168.0,195.0,7020.0
167.0,201.0,184.0,197.0,13987.0
165.0,200.0,197.0,191.0,14161.0
164.0,197.0,164.0,195.0,13976.0
164.0,197.0,195.0,190.0,14090.0
163.0,197.0,181.0,193.0,13964.0
162.0,195.0,180.0,193.0,13958.0
162.0,194.0,193.0,191.0,13969.0
163.0,196.0,194.0,186.0,13933.0
164.0,196.0,165.0,192.0,7022.0
162.0,195.0,185.0,193.0,13665.0
160.0,194.0,193.0,193.0,13942.0
162.0,196.0,191.0,195.0,13785.0
165.0,202.0,195.0,201.0,14190.0
169.0,203.0,201.0,202.0,13932.0
171.0,204.0,202.0,204.0,14073.0
174.0,209.0,204.0,206.0,13859.0
177.0,217.0,206.0,217.0,13936.0
186.0,219.0,196.0,188.0,6928.0
182.0,217.0,187.0,210.0,14049.0
182.0,221.0,208.0,191.0,13955.0
188.0,225.0,190.0,195.0,13929.0
192.0,228.0,195.0,199.0,14063.0
192.0,229.0,197.0,194.0,13908.0
192.0,225.0,194.0,224.0,13960.0
193.0,228.0,224.0,197.0,13695.0
194.0,229.0,197.0,195.0,13888.0
195.0,229.0,195.0,227.0,6883.0
191.0,230.0,229.0,217.0,14000.0
191.0,229.0,213.0,223.0,13966.0
196.0,229.0,227.0,202.0,14044.0
195.0,230.0,196.0,225.0,13989.0
190.0,226.0,225.0,192.0,13854.0
186.0,223.0,192.0,215.0,13989.0
184.0,218.0,217.0,216.0,14021.0
182.0,218.0,216.0,190.0,13955.0
182.0,216.0,193.0,205.0,7042.0
176.0,213.0,202.0,205.0,13960.0
174.0,208.0,206.0,188.0,14020.0
176.0,212.0,207.0,205.0,13961.0
173.0,207.0,202.0,203.0,13926.0
173.0,207.0,203.0,204.0,14020.0
171.0,206.0,204.0,195.0,14074.0
169.0,203.0,191.0,169.0,13883.0
164.0,200.0,169.0,164.0,13927.0
160.0,195.0,194.0,183.0,7080.0
158.0,193.0,190.0,189.0,13892.0
157.0,190.0,189.0,185.0,13883.0
158.0,192.0,184.0,188.0,14135.0
157.0,192.0,188.0,170.0,13923.0
161.0,197.0,180.0,166.0,13974.0
165.0,198.0,185.0,193.0,13801.0
163.0,197.0,195.0,196.0,14120.0
164.0,199.0,196.0,198.0,13950.0
166.0,199.0,198.0,197.0,6940.0
166.0,200.0,197.0,192.0,13544.0
169.0,203.0,192.0,203.0,13955.0
172.0,206.0,203.0,194.0,14100.0
171.0,207.0,191.0,188.0,13832.0
175.0,208.0,175.0,206.0,13926.0
177.0,216.0,207.0,215.0,13962.0
185.0,218.0,215.0,195.0,14061.0
183.0,219.0,205.0,216.0,13976.0
187.0,221.0,219.0,218.0,6935.0
188.0,225.0,188.0,222.0,13825.0
191.0,235.0,222.0,234.0,13960.0
201.0,235.0,234.0,234.0,13921.0
198.0,235.0,234.0,227.0,13796.0
196.0,230.0,225.0,196.0,13974.0
195.0,229.0,196.0,218.0,14071.0
196.0,231.0,197.0,202.0,14202.0
199.0,234.0,231.0,203.0,13932.0
200.0,237.0,202.0,237.0,6978.0
202.0,237.0,207.0,224.0,14027.0
199.0,236.0,232.0,233.0,14108.0
199.0,234.0,233.0,224.0,14000.0
197.0,234.0,222.0,228.0,13986.0
199.0,233.0,229.0,214.0,13941.0
197.0,232.0,228.0,202.0,13881.0
197.0,232.0,200.0,202.0,13974.0
201.0,235.0,202.0,203.0,13939.0
201.0,237.0,233.0,237.0,6958.0
201.0,236.0,218.0,232.0,13740.0
196.0,232.0,232.0,226.0,14006.0
184.0,226.0,226.0,204.0,14035.0
183.0,217.0,193.0,213.0,13824.0
174.0,214.0,213.0,207.0,13932.0
169.0,207.0,207.0,171.0,14050.0
168.0,202.0,171.0,197.0,13761.0
160.0,199.0,198.0,191.0,14032.0
157.0,192.0,192.0,158.0,7006.0
157.0,193.0,178.0,192.0,14100.0
160.0,194.0,192.0,183.0,13985.0
157.0,191.0,191.0,190.0,13933.0
161.0,193.0,191.0,178.0,14050.0
159.0,193.0,178.0,159.0,14111.0
156.0,191.0,159.0,185.0,14009.0
156.0,189.0,186.0,189.0,13963.0
156.0,189.0,188.0,178.0,14141.0
157.0,188.0,163.0,184.0,7019.0
156.0,192.0,182.0,191.0,13990.0
162.0,200.0,192.0,198.0,14020.0
168.0,202.0,199.0,202.0,14027.0
171.0,205.0,202.0,172.0,13861.0
172.0,206.0,172.0,205.0,13899.0
175.0,208.0,204.0,176.0,14045.0
176.0,210.0,176.0,204.0,13995.0
177.0,215.0,203.0,214.0,13911.0
183.0,217.0,214.0,213.0,6932.0
184.0,217.0,187.0,198.0,13855.0
183.0,216.0,186.0,185.0,13941.0
183.0,216.0,185.0,216.0,13987.0
177.0,216.0,216.0,201.0,13820.0
178.0,211.0,209.0,210.0,13898.0
